[ 479.3457, 137.0, 0.0 ]
[ 457.0, -902.0, 0.0 ]
[ 457.0, -902.0, 0.0 ]
[ 477.0, -53.0, 0.0 ]
[ 477.0, -54.0, 0.0 ]
[ 476.0, -54.0, 0.0 ]
[ 475.0, -54.0, 0.0 ]
[ 474.0, -54.0, 0.0 ]
[ 473.0, -54.0, 0.0 ]
[ 472.0, -54.0, 0.0 ]
[ 471.0, -54.0, 0.0 ]
[ 470.0, -54.0, 0.0 ]
[ 469.0, -54.0, 0.0 ]
[ 468.0, -54.0, 0.0 ]
[ 467.0, -53.0, 0.0 ]
[ 466.0, -53.0, 0.0 ]
[ 465.0, -53.0, 0.0 ]
[ 464.0, -52.0, 0.0 ]
[ 463.0, -51.0, 0.0 ]
[ 462.0, -51.0, 0.0 ]
[ 461.0, -50.0, 0.0 ]
[ 460.0, -49.0, 0.0 ]
[ 459.0, -48.0, 0.0 ]
[ 458.0, -47.0, 0.0 ]
[ 457.0, -46.0, 0.0 ]
[ 457.0, -45.0, 0.0 ]
[ 456.0, -44.0, 0.0 ]
[ 455.0, -43.0, 0.0 ]
[ 454.0, -44.0, 0.0 ]
[ 454.0, -45.0, 0.0 ]
[ 454.0, -46.0, 0.0 ]
[ 453.0, -47.0, 0.0 ]
[ 453.0, -48.0, 0.0 ]
[ 453.0, -49.0, 0.0 ]
[ 453.0, -50.0, 0.0 ]
[ 453.0, -51.0, 0.0 ]
[ 453.0, -52.0, 0.0 ]
[ 453.0, -53.0, 0.0 ]
[ 452.0, -53.0, 0.0 ]
[ 451.0, -53.0, 0.0 ]
[ 450.0, -53.0, 0.0 ]
[ 449.0, -53.0, 0.0 ]
[ 448.0, -53.0, 0.0 ]
[ 448.0, -52.0, 0.0 ]
[ 448.0, -51.0, 0.0 ]
[ 448.0, -50.0, 0.0 ]
[ 448.0, -49.0, 0.0 ]
[ 448.0, -48.0, 0.0 ]
[ 448.0, -47.0, 0.0 ]
[ 448.0, -46.0, 0.0 ]
[ 448.0, -45.0, 0.0 ]
[ 448.0, -44.0, 0.0 ]
[ 448.0, -43.0, 0.0 ]
[ 448.0, -42.0, 0.0 ]
[ 448.0, -41.0, 0.0 ]
[ 448.0, -40.0, 0.0 ]
[ 448.0, -39.0, 0.0 ]
[ 448.0, -38.0, 0.0 ]
[ 448.0, -37.0, 0.0 ]
[ 448.0, -36.0, 0.0 ]
[ 448.0, -35.0, 0.0 ]
[ 448.0, -34.0, 0.0 ]
[ 448.0, -33.0, 0.0 ]
[ 448.0, -32.0, 0.0 ]
[ 448.0, -31.0, 0.0 ]
[ 448.0, -30.0, 0.0 ]
[ 448.0, -29.0, 0.0 ]
[ 448.0, -28.0, 0.0 ]
[ 448.0, -27.0, 0.0 ]
[ 448.0, -26.0, 0.0 ]
[ 448.0, -25.0, 0.0 ]
[ 448.0, -24.0, 0.0 ]
[ 448.0, -23.0, 0.0 ]
[ 448.0, -22.0, 0.0 ]
[ 448.0, -21.0, 0.0 ]
[ 448.0, -20.0, 0.0 ]
[ 448.0, -19.0, 0.0 ]
[ 448.0, -18.0, 0.0 ]
[ 448.0, -17.0, 0.0 ]
[ 448.0, -16.0, 0.0 ]
[ 448.0, -15.0, 0.0 ]
[ 448.0, -14.0, 0.0 ]
[ 448.0, -13.0, 0.0 ]
[ 448.0, -12.0, 0.0 ]
[ 448.0, -11.0, 0.0 ]
[ 448.0, -10.0, 0.0 ]
[ 448.0, -9.0, 0.0 ]
[ 448.0, -8.0, 0.0 ]
[ 448.0, -7.0, 0.0 ]
[ 448.0, -6.0, 0.0 ]
[ 448.0, -5.0, 0.0 ]
[ 448.0, -4.0, 0.0 ]
[ 448.0, -3.0, 0.0 ]
[ 448.0, -2.0, 0.0 ]
[ 448.0, -1.0, 0.0 ]
[ 449.0, -1.0, 0.0 ]
[ 450.0, -1.0, 0.0 ]
[ 451.0, -1.0, 0.0 ]
[ 452.0, -1.0, 0.0 ]
[ 453.0, -1.0, 0.0 ]
[ 454.0, -1.0, 0.0 ]
[ 454.0, -2.0, 0.0 ]
[ 454.0, -3.0, 0.0 ]
[ 454.0, -4.0, 0.0 ]
[ 454.0, -5.0, 0.0 ]
[ 454.0, -6.0, 0.0 ]
[ 454.0, -7.0, 0.0 ]
[ 454.0, -8.0, 0.0 ]
[ 454.0, -9.0, 0.0 ]
[ 454.0, -10.0, 0.0 ]
[ 454.0, -11.0, 0.0 ]
[ 454.0, -12.0, 0.0 ]
[ 454.0, -13.0, 0.0 ]
[ 454.0, -14.0, 0.0 ]
[ 454.0, -15.0, 0.0 ]
[ 454.0, -16.0, 0.0 ]
[ 454.0, -17.0, 0.0 ]
[ 454.0, -18.0, 0.0 ]
[ 454.0, -19.0, 0.0 ]
[ 454.0, -20.0, 0.0 ]
[ 454.0, -21.0, 0.0 ]
[ 454.0, -22.0, 0.0 ]
[ 454.0, -23.0, 0.0 ]
[ 454.0, -24.0, 0.0 ]
[ 454.0, -25.0, 0.0 ]
[ 454.0, -26.0, 0.0 ]
[ 454.0, -27.0, 0.0 ]
[ 454.0, -28.0, 0.0 ]
[ 454.0, -29.0, 0.0 ]
[ 454.0, -30.0, 0.0 ]
[ 454.0, -31.0, 0.0 ]
[ 454.0, -32.0, 0.0 ]
[ 454.0, -33.0, 0.0 ]
[ 455.0, -34.0, 0.0 ]
[ 455.0, -35.0, 0.0 ]
[ 455.0, -36.0, 0.0 ]
[ 455.0, -37.0, 0.0 ]
[ 456.0, -38.0, 0.0 ]
[ 456.0, -39.0, 0.0 ]
[ 457.0, -40.0, 0.0 ]
[ 458.0, -41.0, 0.0 ]
[ 458.0, -42.0, 0.0 ]
[ 459.0, -43.0, 0.0 ]
[ 460.0, -44.0, 0.0 ]
[ 461.0, -45.0, 0.0 ]
[ 462.0, -46.0, 0.0 ]
[ 463.0, -46.0, 0.0 ]
[ 464.0, -47.0, 0.0 ]
[ 465.0, -47.0, 0.0 ]
[ 466.0, -48.0, 0.0 ]
[ 467.0, -48.0, 0.0 ]
[ 468.0, -48.0, 0.0 ]
[ 469.0, -49.0, 0.0 ]
[ 470.0, -49.0, 0.0 ]
[ 471.0, -49.0, 0.0 ]
[ 472.0, -49.0, 0.0 ]
[ 473.0, -49.0, 0.0 ]
[ 474.0, -48.0, 0.0 ]
[ 475.0, -48.0, 0.0 ]
[ 476.0, -48.0, 0.0 ]
[ 476.0, -49.0, 0.0 ]
[ 476.0, -50.0, 0.0 ]
[ 476.0, -51.0, 0.0 ]
[ 431.0, -35.0, 0.0 ]
[ 431.0, -34.0, 0.0 ]
[ 431.0, -33.0, 0.0 ]
[ 431.0, -32.0, 0.0 ]
[ 431.0, -31.0, 0.0 ]
[ 431.0, -30.0, 0.0 ]
[ 431.0, -29.0, 0.0 ]
[ 431.0, -28.0, 0.0 ]
[ 431.0, -27.0, 0.0 ]
[ 431.0, -26.0, 0.0 ]
[ 431.0, -25.0, 0.0 ]
[ 431.0, -24.0, 0.0 ]
[ 431.0, -23.0, 0.0 ]
[ 431.0, -22.0, 0.0 ]
[ 431.0, -21.0, 0.0 ]
[ 431.0, -20.0, 0.0 ]
[ 430.0, -19.0, 0.0 ]
[ 430.0, -18.0, 0.0 ]
[ 430.0, -17.0, 0.0 ]
[ 430.0, -16.0, 0.0 ]
[ 429.0, -15.0, 0.0 ]
[ 429.0, -14.0, 0.0 ]
[ 428.0, -13.0, 0.0 ]
[ 428.0, -12.0, 0.0 ]
[ 427.0, -11.0, 0.0 ]
[ 427.0, -10.0, 0.0 ]
[ 426.0, -9.0, 0.0 ]
[ 425.0, -8.0, 0.0 ]
[ 425.0, -7.0, 0.0 ]
[ 424.0, -6.0, 0.0 ]
[ 423.0, -6.0, 0.0 ]
[ 422.0, -5.0, 0.0 ]
[ 421.0, -4.0, 0.0 ]
[ 420.0, -4.0, 0.0 ]
[ 419.0, -3.0, 0.0 ]
[ 418.0, -3.0, 0.0 ]
[ 417.0, -2.0, 0.0 ]
[ 416.0, -2.0, 0.0 ]
[ 415.0, -1.0, 0.0 ]
[ 414.0, -1.0, 0.0 ]
[ 413.0, -1.0, 0.0 ]
[ 412.0, -1.0, 0.0 ]
[ 411.0, -1.0, 0.0 ]
[ 410.0, -1.0, 0.0 ]
[ 409.0, -1.0, 0.0 ]
[ 408.0, -1.0, 0.0 ]
[ 407.0, -1.0, 0.0 ]
[ 406.0, -1.0, 0.0 ]
[ 405.0, -1.0, 0.0 ]
[ 404.0, -1.0, 0.0 ]
[ 403.0, -1.0, 0.0 ]
[ 402.0, -1.0, 0.0 ]
[ 401.0, -1.0, 0.0 ]
[ 400.0, -2.0, 0.0 ]
[ 399.0, -2.0, 0.0 ]
[ 398.0, -2.0, 0.0 ]
[ 397.0, -3.0, 0.0 ]
[ 396.0, -3.0, 0.0 ]
[ 395.0, -4.0, 0.0 ]
[ 394.0, -5.0, 0.0 ]
[ 393.0, -5.0, 0.0 ]
