[ 357.08008, 137.0, 0.0 ]
[ 329.0, -878.0, 0.0 ]
[ 329.0, -878.0, 0.0 ]
[ 349.0, -29.0, 0.0 ]
[ 349.0, -30.0, 0.0 ]
[ 349.0, -31.0, 0.0 ]
[ 349.0, -32.0, 0.0 ]
[ 349.0, -33.0, 0.0 ]
[ 349.0, -34.0, 0.0 ]
[ 349.0, -35.0, 0.0 ]
[ 349.0, -36.0, 0.0 ]
[ 349.0, -37.0, 0.0 ]
[ 349.0, -38.0, 0.0 ]
[ 349.0, -39.0, 0.0 ]
[ 349.0, -40.0, 0.0 ]
[ 349.0, -41.0, 0.0 ]
[ 349.0, -42.0, 0.0 ]
[ 349.0, -43.0, 0.0 ]
[ 349.0, -44.0, 0.0 ]
[ 349.0, -45.0, 0.0 ]
[ 348.0, -46.0, 0.0 ]
[ 348.0, -47.0, 0.0 ]
[ 348.0, -48.0, 0.0 ]
[ 348.0, -49.0, 0.0 ]
[ 347.0, -50.0, 0.0 ]
[ 347.0, -51.0, 0.0 ]
[ 347.0, -52.0, 0.0 ]
[ 346.0, -53.0, 0.0 ]
[ 346.0, -54.0, 0.0 ]
[ 345.0, -55.0, 0.0 ]
[ 345.0, -56.0, 0.0 ]
[ 344.0, -57.0, 0.0 ]
[ 344.0, -58.0, 0.0 ]
[ 343.0, -59.0, 0.0 ]
[ 342.0, -60.0, 0.0 ]
[ 341.0, -61.0, 0.0 ]
[ 340.0, -62.0, 0.0 ]
[ 339.0, -63.0, 0.0 ]
[ 338.0, -64.0, 0.0 ]
[ 337.0, -65.0, 0.0 ]
[ 336.0, -65.0, 0.0 ]
[ 335.0, -66.0, 0.0 ]
[ 334.0, -67.0, 0.0 ]
[ 333.0, -67.0, 0.0 ]
[ 332.0, -68.0, 0.0 ]
[ 331.0, -68.0, 0.0 ]
[ 330.0, -68.0, 0.0 ]
[ 329.0, -69.0, 0.0 ]
[ 328.0, -69.0, 0.0 ]
[ 327.0, -69.0, 0.0 ]
[ 326.0, -70.0, 0.0 ]
[ 325.0, -70.0, 0.0 ]
[ 324.0, -70.0, 0.0 ]
[ 323.0, -70.0, 0.0 ]
[ 322.0, -70.0, 0.0 ]
[ 321.0, -71.0, 0.0 ]
[ 320.0, -71.0, 0.0 ]
[ 319.0, -71.0, 0.0 ]
[ 318.0, -71.0, 0.0 ]
[ 317.0, -71.0, 0.0 ]
[ 316.0, -71.0, 0.0 ]
[ 315.0, -71.0, 0.0 ]
[ 314.0, -71.0, 0.0 ]
[ 313.0, -71.0, 0.0 ]
[ 312.0, -71.0, 0.0 ]
[ 311.0, -71.0, 0.0 ]
[ 310.0, -71.0, 0.0 ]
[ 309.0, -71.0, 0.0 ]
[ 308.0, -71.0, 0.0 ]
[ 307.0, -71.0, 0.0 ]
[ 306.0, -71.0, 0.0 ]
[ 305.0, -71.0, 0.0 ]
[ 304.0, -71.0, 0.0 ]
[ 303.0, -71.0, 0.0 ]
[ 302.0, -71.0, 0.0 ]
[ 301.0, -71.0, 0.0 ]
[ 300.0, -71.0, 0.0 ]
[ 299.0, -71.0, 0.0 ]
[ 298.0, -71.0, 0.0 ]
[ 297.0, -71.0, 0.0 ]
[ 296.0, -71.0, 0.0 ]
[ 295.0, -71.0, 0.0 ]
[ 294.0, -71.0, 0.0 ]
[ 294.0, -70.0, 0.0 ]
[ 294.0, -69.0, 0.0 ]
[ 294.0, -68.0, 0.0 ]
[ 294.0, -67.0, 0.0 ]
[ 294.0, -66.0, 0.0 ]
[ 294.0, -65.0, 0.0 ]
[ 294.0, -64.0, 0.0 ]
[ 294.0, -63.0, 0.0 ]
[ 294.0, -62.0, 0.0 ]
[ 294.0, -61.0, 0.0 ]
[ 294.0, -60.0, 0.0 ]
[ 294.0, -59.0, 0.0 ]
[ 294.0, -58.0, 0.0 ]
[ 294.0, -57.0, 0.0 ]
[ 294.0, -56.0, 0.0 ]
[ 294.0, -55.0, 0.0 ]
[ 294.0, -54.0, 0.0 ]
[ 294.0, -53.0, 0.0 ]
[ 294.0, -52.0, 0.0 ]
[ 294.0, -51.0, 0.0 ]
[ 294.0, -50.0, 0.0 ]
[ 294.0, -49.0, 0.0 ]
[ 294.0, -48.0, 0.0 ]
[ 294.0, -47.0, 0.0 ]
[ 294.0, -46.0, 0.0 ]
[ 294.0, -45.0, 0.0 ]
[ 294.0, -44.0, 0.0 ]
[ 294.0, -43.0, 0.0 ]
[ 294.0, -42.0, 0.0 ]
[ 294.0, -41.0, 0.0 ]
[ 294.0, -40.0, 0.0 ]
[ 294.0, -39.0, 0.0 ]
[ 294.0, -38.0, 0.0 ]
[ 294.0, -37.0, 0.0 ]
[ 294.0, -36.0, 0.0 ]
[ 294.0, -35.0, 0.0 ]
[ 294.0, -34.0, 0.0 ]
[ 294.0, -33.0, 0.0 ]
[ 294.0, -32.0, 0.0 ]
[ 294.0, -31.0, 0.0 ]
[ 294.0, -30.0, 0.0 ]
[ 294.0, -29.0, 0.0 ]
[ 294.0, -28.0, 0.0 ]
[ 294.0, -27.0, 0.0 ]
[ 294.0, -26.0, 0.0 ]
[ 294.0, -25.0, 0.0 ]
[ 294.0, -24.0, 0.0 ]
[ 294.0, -23.0, 0.0 ]
[ 294.0, -22.0, 0.0 ]
[ 294.0, -21.0, 0.0 ]
[ 294.0, -20.0, 0.0 ]
[ 294.0, -19.0, 0.0 ]
[ 294.0, -18.0, 0.0 ]
[ 294.0, -17.0, 0.0 ]
[ 294.0, -16.0, 0.0 ]
[ 294.0, -15.0, 0.0 ]
[ 294.0, -14.0, 0.0 ]
[ 294.0, -13.0, 0.0 ]
[ 294.0, -12.0, 0.0 ]
[ 294.0, -11.0, 0.0 ]
[ 294.0, -10.0, 0.0 ]
[ 294.0, -9.0, 0.0 ]
[ 294.0, -8.0, 0.0 ]
[ 294.0, -7.0, 0.0 ]
[ 294.0, -6.0, 0.0 ]
[ 294.0, -5.0, 0.0 ]
[ 294.0, -4.0, 0.0 ]
[ 294.0, -3.0, 0.0 ]
[ 294.0, -2.0, 0.0 ]
[ 294.0, -1.0, 0.0 ]
[ 295.0, -1.0, 0.0 ]
[ 296.0, -1.0, 0.0 ]
[ 297.0, -1.0, 0.0 ]
[ 298.0, -1.0, 0.0 ]
[ 299.0, -1.0, 0.0 ]
[ 300.0, -1.0, 0.0 ]
[ 301.0, -1.0, 0.0 ]
[ 302.0, -1.0, 0.0 ]
[ 303.0, -1.0, 0.0 ]
[ 304.0, -1.0, 0.0 ]
[ 305.0, -1.0, 0.0 ]
[ 306.0, -1.0, 0.0 ]
[ 307.0, -1.0, 0.0 ]
[ 308.0, -1.0, 0.0 ]
[ 309.0, -1.0, 0.0 ]
[ 310.0, -1.0, 0.0 ]
[ 311.0, -1.0, 0.0 ]
[ 312.0, -1.0, 0.0 ]
[ 313.0, -1.0, 0.0 ]
[ 314.0, -2.0, 0.0 ]
[ 315.0, -2.0, 0.0 ]
[ 316.0, -2.0, 0.0 ]
[ 317.0, -2.0, 0.0 ]
[ 318.0, -2.0, 0.0 ]
[ 319.0, -2.0, 0.0 ]
[ 320.0, -2.0, 0.0 ]
[ 321.0, -2.0, 0.0 ]
[ 322.0, -2.0, 0.0 ]
[ 323.0, -2.0, 0.0 ]
